SortName	Sequence	Size	Comparations	Time	Status
RadixSort[8]	IncreasingSequence	20*10^3	0	631mics	SUCCSES
ShellSort	DecreasingSequence	20*10^3	175083	531mics	SUCCSES
SelectionSort	DecreasingSequence	20*10^3	199990000	707854mics	SUCCSES
RadixSort[1]	DecreasingSequence	20*10^3	0	4664mics	SUCCSES
RadixSort[2]	DecreasingSequence	20*10^3	0	2326mics	SUCCSES
RadixSort[4]	DecreasingSequence	20*10^3	0	1192mics	SUCCSES
RadixSort[8]	DecreasingSequence	20*10^3	0	622mics	SUCCSES
ShellSort	RandomSequence	20*10^3	537339	3130mics	SUCCSES
SelectionSort	RandomSequence	20*10^3	199990000	717234mics	SUCCSES
RadixSort[1]	RandomSequence	20*10^3	0	4624mics	SUCCSES
RadixSort[2]	RandomSequence	20*10^3	0	2322mics	SUCCSES
RadixSort[4]	RandomSequence	20*10^3	0	1186mics	SUCCSES
RadixSort[8]	RandomSequence	20*10^3	0	634mics	SUCCSES
ShellSort	StepSequence	20*10^3	183209	852mics	SUCCSES
SelectionSort	StepSequence	20*10^3	199990000	706760mics	SUCCSES
RadixSort[1]	StepSequence	20*10^3	0	4498mics	SUCCSES
RadixSort[2]	StepSequence	20*10^3	0	2232mics	SUCCSES
RadixSort[4]	StepSequence	20*10^3	0	1140mics	SUCCSES
RadixSort[8]	StepSequence	20*10^3	0	618mics	SUCCSES
ShellSort	IncreasingSequence	25*10^3	195084	706mics	SUCCSES
SelectionSort	IncreasingSequence	25*10^3	312487500	1113956mics	SUCCSES
RadixSort[1]	IncreasingSequence	25*10^3	0	5845mics	SUCCSES
RadixSort[2]	IncreasingSequence	25*10^3	0	2964mics	SUCCSES
RadixSort[4]	IncreasingSequence	25*10^3	0	1508mics	SUCCSES
RadixSort[8]	IncreasingSequence	25*10^3	0	796mics	SUCCSES
ShellSort	DecreasingSequence	25*10^3	220083	690mics	SUCCSES
SelectionSort	DecreasingSequence	25*10^3	312487500	1117779mics	SUCCSES
RadixSort[1]	DecreasingSequence	25*10^3	0	5854mics	SUCCSES
RadixSort[2]	DecreasingSequence	25*10^3	0	2942mics	SUCCSES
RadixSort[4]	DecreasingSequence	25*10^3	0	1522mics	SUCCSES
RadixSort[8]	DecreasingSequence	25*10^3	0	790mics	SUCCSES
ShellSort	RandomSequence	25*10^3	715678	4091mics	SUCCSES
SelectionSort	RandomSequence	25*10^3	312487500	1242359mics	SUCCSES
RadixSort[1]	RandomSequence	25*10^3	0	5782mics	SUCCSES
RadixSort[2]	RandomSequence	25*10^3	0	2966mics	SUCCSES
