5|59324|9484|4999
10|199074|21474|845
15|206608|21484|819
20|189721|18813|886
25|194110|17727|790
30|213110|18066|832
35|208159|15849|852
40|199084|14157|874
45|195830|12658|844
50|189476|11531|850
55|153602|9442|861
60|165350|9522|849
65|203675|10990|813
70|194570|10615|878
75|204228|10322|862
80|191341|9413|815
85|192697|9239|845
90|198238|9136|868
95|196911|9009|856
100|196846|9351|873
